"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	60.2325	20.5078	58.3757	20.5078	59.3405	20.5078	59.2242	20.5078	58.8517	20.5078	59.2567
21.2402	61.4469	21.2402	59.5881	21.2402	60.5853	21.2402	60.4886	21.2402	60.1779	21.2402	60.5102
21.9727	62.0205	21.9727	60.1493	21.9727	61.1577	21.9727	61.0623	21.9727	60.7611	21.9727	61.0833
22.7051	62.7983	22.7051	60.8946	22.7051	61.9435	22.7051	61.8469	22.7051	61.5388	22.7051	61.8629
23.4375	63.2957	23.4375	61.4904	23.4375	62.4857	23.4375	62.3754	23.4375	62.0425	23.4375	62.3944
24.1699	63.8152	24.1699	62.0664	24.1699	63.0315	24.1699	62.9131	24.1699	62.5674	24.1699	62.9339
25.6348	65.0458	25.6348	63.3596	25.6348	64.3059	25.6348	64.1894	25.6348	63.8599	25.6348	64.2066
26.3672	65.731	26.3672	64.1277	26.3672	65.035	26.3672	64.9122	26.3672	64.5742	26.3672	64.9293
27.0996	66.3013	27.0996	64.7084	27.0996	65.6189	27.0996	65.4959	27.0996	65.1626	27.0996	65.5115
27.832	66.8189	27.832	65.1809	27.832	66.1265	27.832	66.0048	27.832	65.6773	27.832	66.0184
29.2969	67.9322	29.2969	66.3327	29.2969	67.2641	29.2969	67.1534	29.2969	66.8594	29.2969	67.1629
30.0293	68.3074	30.0293	66.7286	30.0293	67.6521	30.0293	67.5348	30.0293	67.2303	30.0293	67.5456
31.4941	69.3557	31.4941	67.8286	31.4941	68.7299	31.4941	68.6223	31.4941	68.3552	31.4941	68.6302
32.2266	69.776	32.2266	68.2299	32.2266	69.1498	32.2266	69.0376	32.2266	68.7677	32.2266	69.0458
33.6914	70.5446	33.6914	69.0343	33.6914	69.9443	33.6914	69.8091	33.6914	69.4974	33.6914	69.8219
34.4238	71.0301	34.4238	69.5265	34.4238	70.4352	34.4238	70.3045	34.4238	70.0082	34.4238	70.3161
35.8887	71.9114	35.8887	70.4467	35.8887	71.3386	35.8887	71.2003	35.8887	70.8911	35.8887	71.213
37.3535	72.6407	37.3535	71.2171	37.3535	72.0875	37.3535	71.9526	37.3535	71.6601	37.3535	71.9648
38.8184	73.4173	38.8184	72.0634	38.8184	72.9008	38.8184	72.7615	38.8184	72.4692	38.8184	72.7742
39.5508	73.8321	39.5508	72.535	39.5508	73.3453	39.5508	73.1894	39.5508	72.8674	39.5508	73.2061
41.0156	75.3105	41.0156	73.9598	41.0156	74.8035	41.0156	74.6767	41.0156	74.4041	41.0156	74.6833
42.4805	75.4446	42.4805	74.118	42.4805	74.9462	42.4805	74.8169	42.4805	74.5524	42.4805	74.8261
43.9453	76.1352	43.9453	74.8318	43.9453	75.6545	43.9453	75.5121	43.9453	75.2271	43.9453	75.5239
45.4102	76.8025	45.4102	75.5265	45.4102	76.3389	45.4102	76.1891	45.4102	75.8952	45.4102	76.2024
47.6074	77.9497	47.6074	76.7555	47.6074	77.525	47.6074	77.3732	47.6074	77.0892	47.6074	77.3877
49.0723	78.7048	49.0723	77.5915	49.0723	78.3144	49.0723	78.1634	49.0723	77.8883	49.0723	78.1787
50.5371	79.339	50.5371	78.2305	50.5371	78.9563	50.5371	78.7984	50.5371	78.5159	50.5371	78.8151
52.7344	80.1746	52.7344	79.0822	52.7344	79.8047	52.7344	79.6394	52.7344	79.3486	52.7344	79.6577
54.1992	80.8374	54.1992	79.8	54.1992	80.4924	54.1992	80.3245	54.1992	80.0351	54.1992	80.3441
56.3965	81.6623	56.3965	80.6383	56.3965	81.3247	56.3965	81.161	56.3965	80.8934	56.3965	81.1804
58.5938	82.4436	58.5938	81.4225	58.5938	82.1107	58.5938	81.9443	58.5938	81.6842	58.5938	81.9651
60.0586	82.8464	60.0586	81.8024	60.0586	82.5072	60.0586	82.3355	60.0586	82.0741	60.0586	82.358
62.2559	83.4363	62.2559	82.346	62.2559	83.0877	62.2559	82.9017	62.2559	82.6222	62.2559	82.927
64.4531	84.0079	64.4531	82.9199	64.4531	83.6659	64.4531	83.4683	64.4531	83.1745	64.4531	83.4967
66.6504	84.5058	66.6504	83.3894	66.6504	84.1578	66.6504	83.9513	66.6504	83.6429	66.6504	83.9812
69.5801	85.0533	69.5801	83.9031	69.5801	84.6919	69.5801	84.492	69.5801	84.2163	69.5801	84.5218
71.7773	85.4591	71.7773	84.3147	71.7773	85.106	71.7773	84.8934	71.7773	84.6089	71.7773	84.9274
73.9746	85.8701	73.9746	84.7264	73.9746	85.52	73.9746	85.301	73.9746	85.0134	73.9746	85.3373
76.9043	86.3371	76.9043	85.1841	76.9043	85.9873	76.9043	85.7605	76.9043	85.4753	76.9043	85.8
